,time,sst1,sst2,sst3,sst4,sst5,sst6,sst7,sst8,sst9,sst10,sst11
0,2000-01-01,27.150000000000002,27.150000000000002,27.150000000000002,27.150000000000002,27.21,27.21,27.150000000000002,27.21,27.21,27.150000000000002,27.21
1,2000-01-02,27.5,27.5,27.5,27.5,27.38,27.38,27.5,27.38,27.38,27.5,27.38
2,2000-01-03,27.48,27.48,27.48,27.48,27.47,27.47,27.48,27.47,27.47,27.48,27.47
3,2000-01-04,27.6,27.6,27.6,27.6,27.63,27.63,27.6,27.63,27.63,27.6,27.63
4,2000-01-05,28.34,28.34,28.34,28.34,28.07,28.07,28.34,28.07,28.07,28.34,28.07
5,2000-01-06,28.35,28.35,28.35,28.35,28.28,28.28,28.35,28.28,28.28,28.35,28.28
6,2000-01-07,28.19,28.19,28.19,28.19,28.16,28.16,28.19,28.16,28.16,28.19,28.16
7,2000-01-08,27.73,27.73,27.73,27.73,27.69,27.69,27.73,27.69,27.69,27.73,27.69
8,2000-01-09,27.54,27.54,27.54,27.54,27.38,27.38,27.54,27.38,27.38,27.54,27.38
9,2000-01-10,27.55,27.55,27.55,27.55,27.32,27.32,27.55,27.32,27.32,27.55,27.32
10,2000-01-11,27.7,27.7,27.7,27.7,27.490000000000002,27.490000000000002,27.7,27.490000000000002,27.490000000000002,27.7,27.490000000000002
11,2000-01-12,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,27.69,27.69,27.900000000000002,27.69,27.69,27.900000000000002,27.69
12,2000-01-13,28.060000000000002,28.060000000000002,28.060000000000002,28.060000000000002,27.810000000000002,27.810000000000002,28.060000000000002,27.810000000000002,27.810000000000002,28.060000000000002,27.810000000000002
