,time,sst1,sst2,sst3,sst4,sst5,sst6,sst7,sst8,sst9,sst10,sst11
0,1985-01-01,26.59,26.59,26.59,26.59,26.85,26.85,26.59,26.85,26.85,26.59,26.85
1,1985-01-02,26.3,26.3,26.3,26.3,26.8,26.8,26.3,26.8,26.8,26.3,26.8
2,1985-01-03,26.34,26.34,26.34,26.34,26.86,26.86,26.34,26.86,26.86,26.34,26.86
3,1985-01-04,27.63,27.63,27.63,27.63,27.62,27.62,27.63,27.62,27.62,27.63,27.62
4,1985-01-05,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,27.830000000000002,27.830000000000002,27.900000000000002,27.830000000000002,27.830000000000002,27.900000000000002,27.830000000000002
5,1985-01-06,27.17,27.17,27.17,27.17,27.16,27.16,27.17,27.16,27.16,27.17,27.16
6,1985-01-07,26.57,26.57,26.57,26.57,26.69,26.69,26.57,26.69,26.69,26.57,26.69
7,1985-01-08,26.69,26.69,26.69,26.69,26.79,26.79,26.69,26.79,26.79,26.69,26.79
8,1985-01-09,26.51,26.51,26.51,26.51,26.63,26.63,26.51,26.63,26.63,26.51,26.63
9,1985-01-10,26.43,26.43,26.43,26.43,26.5,26.5,26.43,26.5,26.5,26.43,26.5
10,1985-01-11,26.43,26.43,26.43,26.43,26.48,26.48,26.43,26.48,26.48,26.43,26.48
11,1985-01-12,26.43,26.43,26.43,26.43,26.45,26.45,26.43,26.45,26.45,26.43,26.45
12,1985-01-13,26.38,26.38,26.38,26.38,26.39,26.39,26.38,26.39,26.39,26.38,26.39
